date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:16	50958/50958	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fba-c70e%22	https://html.awaikenthemes.com/gitar/index.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/index.html	(from )
08:53:17	171/171	---MCZ	200	added ('OK')	text/plain	etag:W/%2269cf4ab7-16d%22	https://html.awaikenthemes.com/robots.txt		(from )
08:53:17	2989/2989	---M--	200	added ('OK')	image/png	etag:%2267c5423b-bad%22	https://html.awaikenthemes.com/gitar/images/favicon.png	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/images/favicon.png	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:17	232757/232757	---MCZ	200	added ('OK')	text/css	etag:W/%2267c54229-38d35%22	https://html.awaikenthemes.com/gitar/css/bootstrap.min.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/bootstrap.min.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:18	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5422a-9c9%22	https://html.awaikenthemes.com/gitar/css/slicknav.min.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/slicknav.min.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:18	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5422b-4809%22	https://html.awaikenthemes.com/gitar/css/swiper-bundle.min.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:18	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%2267c54229-120a2%22	https://html.awaikenthemes.com/gitar/css/all.min.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/all.min.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:19	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c54229-12c09%22	https://html.awaikenthemes.com/gitar/css/animate.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/animate.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:19	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5422a-1b27%22	https://html.awaikenthemes.com/gitar/css/magnific-popup.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/magnific-popup.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:19	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5422b-1aec%22	https://html.awaikenthemes.com/gitar/css/mousecursor.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/mousecursor.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:20	79511/79511	---MCZ	200	added ('OK')	text/css	etag:W/%2267c54229-13697%22	https://html.awaikenthemes.com/gitar/css/custom.css	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/css/custom.css	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:20	3263/3263	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c5424d-cbf%22	https://html.awaikenthemes.com/gitar/images/loader.svg	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/images/loader.svg	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:20	5330/5330	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c5424d-14d2%22	https://html.awaikenthemes.com/gitar/images/logo.svg	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/images/logo.svg	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:20	50958/50958	---MCZ	200	added ('OK')	text/html	etag:W/%22c70e-65730dd3d322e%22	https://html.awaikenthemes.com/gitar/	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/index-2.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:20	51822/51822	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fba-ca6e%22	https://html.awaikenthemes.com/gitar/index-video.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/index-video.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:21	54603/54603	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fba-d54b%22	https://html.awaikenthemes.com/gitar/index-slider.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/index-slider.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:21	51988/51988	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fbd-cb14%22	https://html.awaikenthemes.com/gitar/about.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/about.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:21	31124/31124	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fb9-7994%22	https://html.awaikenthemes.com/gitar/services.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/services.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:22	23137/23137	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fbb-5a61%22	https://html.awaikenthemes.com/gitar/blog.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/blog.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:22	29405/29405	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fb9-72dd%22	https://html.awaikenthemes.com/gitar/service-single.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/service-single.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:23	18796/18796	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fbb-496c%22	https://html.awaikenthemes.com/gitar/blog-single.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/blog-single.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:24	22809/22809	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fb8-5919%22	https://html.awaikenthemes.com/gitar/albums.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/albums.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:24	22136/22136	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fbc-5678%22	https://html.awaikenthemes.com/gitar/album-single.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/album-single.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:24	25713/25713	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fb9-6471%22	https://html.awaikenthemes.com/gitar/team.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/team.html	(from https://html.awaikenthemes.com/gitar/index.html)
08:53:27	20993/20993	---MCZ	200	added ('OK')	text/html	etag:W/%226a609fb9-5201%22	https://html.awaikenthemes.com/gitar/team-single.html	D:/~%20Website%20Work/website-copy/Band%20Template/html.awaikenthemes.com/gitar/team-single.html	(from https://html.awaikenthemes.com/gitar/index.html)
